action,n,top1,top5,n_acc,rand_top5
Add honey to mug,17,0.4117647058823529,1.0,4.0,0.18986746946133015
Hold cup in front of you,22,0.8181818181818182,1.0,4.0,0.18986746946133015
Transfer water to kettle,22,0.6363636363636364,1.0,4.0,0.18986746946133015
Measure 12 ounces of cold water,22,0.9545454545454546,1.0,4.0,0.18986746946133015
Place tea bag in mug,20,0.05,1.0,3.0,0.14536515331187028
Put tea bag into trash can,24,0.9166666666666666,1.0,5.0,0.23249632194002412
Steep tea bag in mug for a few seconds,28,0.6785714285714286,1.0,6.0,0.2733114952661646
Pour water from kettle into mug,25,0.76,0.96,2.0,0.0989282893859369
Stir using spoon,19,0.5789473684210527,0.8421052631578947,1.0,0.050494480016270105
Check water temperature,21,0.14285714285714285,0.7619047619047619,4.0,0.18986746946133015
OVERALL,220,0.6136363636363636,0.9590909090909091,,0.17872161745084764
